date,nav
2016-01-04,100.0
2016-01-05,100.0
2016-01-06,100.0
2016-01-07,100.0
2016-01-08,100.0
2016-01-11,100.0
2016-01-12,100.0
2016-01-13,100.0
2016-01-14,100.0
2016-01-15,100.0
2016-01-18,100.0
2016-01-19,100.0
2016-01-20,100.0
2016-01-21,100.0
2016-01-22,100.0
2016-01-25,100.0
2016-01-26,100.0
2016-01-27,100.0
2016-01-28,100.0
2016-01-29,100.0
2016-02-01,99.9
2016-02-02,99.44447010709305
2016-02-03,100.27822862803825
2016-02-04,98.71266341667413
2016-02-05,97.34585767365388
2016-02-08,98.82377489319792
2016-02-09,100.00561802730334
2016-02-10,100.256046075092
2016-02-11,99.55238720624472
2016-02-12,99.7829253664632
2016-02-15,99.7829253664632
2016-02-16,98.73099583494866
2016-02-17,100.08141659389457
2016-02-18,99.53701346535654
2016-02-19,99.72741393768767
2016-02-22,99.89928503568535
2016-02-23,98.69672080634645
2016-02-24,99.32335860239299
2016-02-25,99.75106123322708
2016-02-26,98.38594393992406
2016-02-29,98.73799766660993
2016-03-01,99.54725911095034
2016-03-02,97.93472364380145
2016-03-03,99.47118343974614
2016-03-04,97.15672514928997
2016-03-07,97.45969115532334
2016-03-08,97.3092637178349
2016-03-09,97.59775941315542
2016-03-10,97.6747037260752
2016-03-11,97.00889212460183
2016-03-14,97.10339505649168
2016-03-15,98.19384767895436
2016-03-16,100.87685274796763
2016-03-17,98.80338950276601
2016-03-18,98.12434819320092
2016-03-21,97.2348504160608
2016-03-22,99.44590461536934
2016-03-23,98.7541037908961
2016-03-24,99.47057253195611
2016-03-28,99.97052078007951
2016-03-29,100.80758423169955
2016-03-30,100.67555549655317
2016-03-31,99.02372154248421
2016-04-01,99.4907924995008
2016-04-04,99.01997589551179
2016-04-05,98.96298732638463
2016-04-06,99.20074710079265
2016-04-07,96.34434980644131
2016-04-08,97.52995634772142
2016-04-11,102.63329714969923
2016-04-12,103.4057419217331
2016-04-13,102.16918095708671
2016-04-14,101.192375312279
2016-04-15,100.71235813167688
2016-04-18,101.75987240086036
2016-04-19,102.80673038343444
2016-04-20,101.50471900656518
2016-04-21,100.49707665006284
2016-04-22,98.77840549237675
2016-04-25,101.83006599166761
2016-04-26,102.58562279292174
2016-04-27,103.53663973793998
2016-04-28,101.58445681549038
2016-04-29,103.21281742283547
2016-05-02,101.0299760998195
2016-05-03,99.22625689417174
2016-05-04,99.81067591957108
2016-05-05,101.4434325800459
2016-05-06,101.60434415188983
2016-05-09,99.69418827446563
2016-05-10,103.04159249614902
2016-05-11,105.29412800818595
2016-05-12,104.77619156603821
2016-05-13,104.55520424742323
2016-05-16,105.96974912610946
2016-05-17,103.4964981524681
2016-05-18,102.68234976054623
2016-05-19,103.19164392844417
2016-05-20,103.22437641642715
2016-05-23,102.02292855795743
2016-05-24,101.93073616548995
2016-05-25,102.34738888571403
2016-05-26,102.3050929939427
2016-05-27,100.67345848326215
2016-05-30,100.67345848326215
2016-05-31,98.38479074653367
2016-06-01,101.26355453944072
2016-06-02,101.81688917617329
2016-06-03,103.52135088886472
2016-06-06,103.46397864903221
2016-06-07,103.51688327265528
2016-06-08,104.7255650201109
2016-06-09,103.46392601086214
2016-06-10,102.14834465876665
2016-06-13,101.95972729685545
2016-06-14,101.42582398022475
2016-06-15,102.5743359322252
2016-06-16,100.78586461624087
2016-06-17,103.77800477153423
2016-06-20,102.04064320840234
2016-06-21,102.5501075956941
2016-06-22,101.8375553185611
2016-06-23,102.05301728560295
2016-06-24,100.33696414740099
2016-06-27,96.18624949989368
2016-06-28,102.55555714353125
2016-06-29,102.9254466306387
2016-06-30,101.69721830061675
2016-07-01,102.11829107234537
2016-07-04,102.11829107234537
2016-07-05,100.679238656292
2016-07-06,101.53433909306116
2016-07-07,102.37521625986702
2016-07-08,102.64990203182474
2016-07-11,103.26231365603832
2016-07-12,104.73398781007285
2016-07-13,103.18384425813687
2016-07-14,103.55391196335707
2016-07-15,103.00960032788576
2016-07-18,103.67313991271143
2016-07-19,102.78308530834298
2016-07-20,101.62925714345516
2016-07-21,101.8382456878523
2016-07-22,102.46647368906412
2016-07-25,101.63948025734554
2016-07-26,101.55289775790649
2016-07-27,103.6066579365745
2016-07-28,103.0329348673031
2016-07-29,105.58076832116309
2016-08-01,103.80752765509236
2016-08-02,104.29037650372307
2016-08-03,102.79007115139943
2016-08-04,103.58163204802327
2016-08-05,105.2140373680883
2016-08-08,103.9766230545345
2016-08-09,105.76785713077051
2016-08-10,105.39694149006371
2016-08-11,103.67807560400476
2016-08-12,103.0612788748519
2016-08-15,103.62955881830162
2016-08-16,103.94666980095327
2016-08-17,103.99641151285113
2016-08-18,105.24446886971323
2016-08-19,104.3462862645353
2016-08-22,104.31986153930916
2016-08-23,105.26427359728329
2016-08-24,105.28744110724752
2016-08-25,105.17597194318533
2016-08-26,103.28407009023351
2016-08-29,106.1416137735899
2016-08-30,105.23109643015212
2016-08-31,104.53152145328875
2016-09-01,103.03763705005761
2016-09-02,108.04480592299444
2016-09-05,108.04480592299444
2016-09-06,109.34028387770873
2016-09-07,107.51303798305673
2016-09-08,107.11721461302093
2016-09-09,103.13569557036388
2016-09-12,102.2840047269626
2016-09-13,101.04428585344915
2016-09-14,102.60916820927673
2016-09-15,103.92596649504371
2016-09-16,102.57322703334643
2016-09-19,104.26547741044054
2016-09-20,104.74425013152518
2016-09-21,105.95476756344071
2016-09-22,106.25248798131042
2016-09-23,104.5342138041972
2016-09-26,103.42789498200989
2016-09-27,104.97170543440062
2016-09-28,106.2310656498908
2016-09-29,103.93732731982725
2016-09-30,102.36223077217402
2016-10-03,105.00731895831714
2016-10-04,104.23410285274592
2016-10-05,106.1318178043346
2016-10-06,105.98128356383883
2016-10-07,106.74404391436902
2016-10-10,108.50254767043022
2016-10-11,105.30913913196716
