ticker,adjusted_close,retorno_3m,retorno_6_1,retorno_12_1,sma200,history_rows,history_ok,sobre_sma200,score,eligible,reason
TGT,160.8800048828125,0.31044252376439196,0.2888146423826554,0.5411195342448905,119.25824436187744,2932,True,True,1.2822149725199443,True,elegible
INTC,89.51000213623047,-0.18128600899002667,0.9824175153459824,2.618130599441491,73.04264991760255,2932,True,True,1.171016906515577,True,elegible
MRK,146.89291381835938,0.2921990860164789,0.0881110985545197,0.6170271454470713,115.54708591461181,2932,True,True,1.0325745561963948,True,elegible
BAC,61.625579833984375,0.20873274567132238,0.25725577725105264,0.2537034270982659,54.074908065795896,2932,True,True,0.7194422543975375,True,elegible
JNJ,265.8500061035156,0.1952984835479925,0.03727184096934222,0.4866947879119019,231.84048774719238,2932,True,True,0.5440707079904271,True,elegible
ABT,110.36000061035156,0.2662010395640064,-0.06132378028855201,-0.17680495764567905,105.58094333648681,2932,True,True,0.3837290793555292,True,elegible
V,379.3699951171875,0.1775405977977469,0.1447037703691032,0.052917748957334476,332.01449783325194,2932,True,True,0.380514912446694,True,elegible
KO,88.14402770996094,0.13482286757835849,0.10647786907751766,0.3175923374229028,77.0546921157837,2932,True,True,0.3054916413009752,True,elegible
UNH,387.02685546875,0.030995898566445357,0.4240900345239549,0.4075832438641749,345.4805012512207,2932,True,True,0.2968134729525016,True,elegible
CVX,206.13999938964844,0.11897443840443156,0.04764137406490088,0.2730103975357383,177.00165634155275,2932,True,True,0.15957171164730188,True,elegible
FCX,75.73999786376953,0.13251536569831512,-0.07863150331058044,0.4267136905806761,60.076273155212405,2932,True,True,0.14977082220831242,True,elegible
SBUX,106.25,0.1072463639061092,0.09411835369516597,0.21926144753126486,96.19402019500733,2932,True,True,0.1388213922605827,True,elegible
WFC,86.38999938964844,0.12590355437911604,0.05284862292728887,0.07137015005280056,84.05040969848633,2932,True,True,0.09310044051127177,True,elegible
MS,213.32000732421875,0.016512417178335292,0.27374459112173155,0.43288110402029245,188.23212913513183,2932,True,True,0.09126367272174322,True,elegible
MSFT,507.2900085449219,0.10363282612859614,0.1685524113023973,-0.08236570480882632,429.4121992492676,2932,True,True,0.05813584536819191,True,elegible
XOM,160.9499969482422,0.08443004708852442,0.01475200263398535,0.4019945087257075,142.13530075073243,2932,True,True,0.05519735077268876,True,elegible
PFE,28.459999084472656,0.12984304357531484,-0.051079259559988155,0.087967750379909,25.361070156097412,2932,True,True,0.0038207372700353043,True,elegible
AAPL,316.8500061035156,0.03530173005639825,0.16800636848224926,0.3320603631527752,282.36438095092774,2932,True,True,-0.0006881699449092851,True,elegible
AMZN,259.7699890136719,-0.00570321019772535,0.30322946095155134,0.17262512700833277,238.73299995422363,2932,True,True,-0.08881972480235134,True,elegible
EBAY,103.55999755859376,-0.058678142617950346,0.2920508230305279,0.24432985592114442,97.65324485778808,2932,True,True,-0.2680404029610252,True,elegible
GOOGL,339.13201904296875,-0.0978221186198982,0.1633616125857471,0.687516418929395,334.3530876159668,2932,True,True,-0.34004051035838156,True,elegible
GOOG,335.1923828125,-0.09922202442919725,0.16567463783029357,0.6841761526439367,333.27002380371096,2932,True,True,-0.34451342348560365,True,elegible
NVDA,220.53323364257807,-0.014809621594908284,0.10146249013815911,0.11570944454481369,195.58559303283693,2932,True,True,-0.3696554262579506,True,elegible
DIS,107.5500030517578,0.0537102587073266,-0.07095705862244839,-0.1704960181188211,103.30814662933349,2932,True,True,-0.43455421404338246,True,elegible
UPS,104.2300033569336,-0.028693344352481498,-0.07379111688419415,0.2526953422655882,101.65564449310303,2932,True,True,-0.5452754820614888,True,elegible
AXP,330.1700134277344,0.055922038892714854,0.1002061468610409,0.039318256786761596,336.3556376647949,2932,True,False,-0.13841054244099288,False,bajo SMA200
WMT,104.87000274658205,-0.08271324006703518,-0.12162970825973018,0.16396246219226263,118.04768333435058,2932,True,False,-0.8465531187093248,False,bajo SMA200
MCD,261.6800231933594,-0.039051914005279964,-0.18165686720223295,-0.11214288566251263,292.6353062438965,2932,True,False,-0.8798025801796602,False,bajo SMA200
HON,213.52999877929688,-0.13667135925735208,-0.06054746009202805,0.12921513414842356,227.9205835723877,2932,True,False,-1.0033830735424303,False,bajo SMA200
NKE,38.650001525878906,-0.1495753990027272,-0.3102241447736477,-0.45001837634448505,50.88214967727661,2932,True,False,-1.6058138076482076,False,bajo SMA200
