review_date,ticker,score,r3,r6,r12,above_sma200,target_weight
2026-09-18,MRK,1.4018173865281938,0.297417517916998,0.34233366769683116,0.9195197351865116,True,0.16666666666666666
2026-09-18,INTC,1.2351006694207065,-0.18949179773216984,1.0095279869748492,2.7269078101791293,True,0.16666666666666666
2026-09-18,TGT,1.1692252000587373,0.21924568674288447,0.41289573196018736,0.8603225912129855,True,0.16666666666666666
2026-09-18,MSFT,0.864770427703542,0.3039261028789282,0.2476452936946778,-0.0443957581202119,True,0.16666666666666666
2026-09-18,JNJ,0.6261830821914234,0.1879748164214936,0.15733330667762502,0.569974218634433,True,0.16666666666666666
2026-09-18,CVX,0.4884697070606538,0.21717691875089984,0.03979712497325272,0.33592304666873396,True,0.16666666666666666
2026-09-18,XOM,0.4865939529804472,0.19439038350183857,0.055655847164842065,0.4706000635585963,True,0.0
2026-09-18,AAPL,0.43252543309730707,0.1288879514208432,0.27488498493164304,0.3306010552518919,True,0.0
2026-09-18,KO,0.33302282958707974,0.11823398151716114,0.2036177929297618,0.3753233387709429,True,0.0
2026-09-18,FCX,0.2478639413177612,0.04417070479725016,0.2944833360230965,0.5487408157626794,True,0.0
2026-09-18,V,0.24485189441567634,0.12753398169280805,0.22444468160491393,0.06430800740163178,True,0.0
2026-09-18,ABT,0.14279679359538466,0.16889319852032125,0.08190280714923226,-0.1274136586521467,False,0.0
2026-09-18,BAC,0.12871318425418946,0.032465171225951606,0.3507384899378214,0.24881364956004637,True,0.0
2026-09-18,PFE,0.11253403888307176,0.11637773918243455,0.06560867451746066,0.2565711823524055,True,0.0
2026-09-18,NVDA,0.07964464903768026,0.05614272900761552,0.2198340428152441,0.2792148633878211,True,0.0
2026-09-18,AMZN,0.013492283947172973,0.0381357966671918,0.2734240435572801,0.14774199957732326,True,0.0
2026-09-18,WFC,-0.12370097733308663,0.05370360084815884,0.13794412901469988,0.06467102113004208,True,0.0
2026-09-18,EBAY,-0.15011891165999613,0.03640092365586001,0.13427985968283185,0.1519894726887958,True,0.0
2026-09-18,UNH,-0.1802042437323732,-0.05421790821894201,0.39362975839167547,0.16072749570735811,True,0.0
2026-09-18,MS,-0.224173736860064,-0.08726460835335825,0.3659216211217644,0.3918204269348098,True,0.0
2026-09-18,GOOGL,-0.3682572430215716,-0.049629932641102714,0.12306160820496936,0.38418024056361744,True,0.0
2026-09-18,UPS,-0.39834222957699883,-0.04024973627918105,0.1004716202230791,0.3021670515101036,False,0.0
2026-09-18,SBUX,-0.40137455113401266,-0.04241930690797302,0.10823233420698286,0.2936672451215083,False,0.0
2026-09-18,GOOG,-0.42581853556320803,-0.062119399321057034,0.11832557620757655,0.37030123804643966,True,0.0
2026-09-18,DIS,-0.4555396703127996,-0.0041707110721608265,0.08618294148783234,-0.0656471594179111,False,0.0
2026-09-18,AXP,-0.591838048066408,-0.0757016369514445,0.15928495944475118,0.022427630647080532,False,0.0
2026-09-18,WMT,-0.8376108267820428,-0.08699848945999422,-0.05233162277576997,0.10278210325743053,False,0.0
2026-09-18,HON,-1.0528269965912271,-0.13780924469625,-0.06903319558219123,0.08045431837187622,False,0.0
2026-09-18,MCD,-1.0824147768628123,-0.10267230472520916,-0.13022833089418684,-0.1068207394524785,False,0.0
2026-09-18,NKE,-1.7153847265824236,-0.20604672168235239,-0.2249753438935468,-0.4197427459778106,False,0.0
